#{"t_start": 1622793068.5441957, "env_id": "Acrobot-v1"}
r,l,t
-70.0,71,0.071082
-74.0,75,0.135145
-84.0,85,0.21026
-66.0,67,0.268602
-80.0,81,0.338029
-84.0,85,0.410688
-87.0,88,0.4858
-64.0,65,0.541664
-71.0,72,0.603224
-75.0,76,0.668203
-87.0,88,0.743717
-74.0,75,0.807729
-85.0,86,0.881111
-96.0,97,0.961734
-82.0,83,1.02408
-85.0,86,1.088237
-64.0,65,1.136787
-78.0,79,1.195751
-79.0,80,1.255389
-87.0,88,1.321085
-73.0,74,1.365639
-92.0,93,1.421043
-73.0,74,1.465128
-64.0,65,1.503906
-73.0,74,1.548064
-78.0,79,1.595254
-78.0,79,1.642365
-84.0,85,1.693041
-125.0,126,1.767975
-77.0,78,1.814455
-71.0,72,1.857324
-80.0,81,1.905485
-96.0,97,1.963116
-80.0,81,2.011293
-87.0,88,2.063612
-119.0,120,2.135175
-66.0,67,2.175055
-73.0,74,2.219513
-80.0,81,2.26762
-77.0,78,2.314106
-64.0,65,2.352916
-81.0,82,2.401797
-84.0,85,2.45243
-86.0,87,2.504383
-87.0,88,2.556932
-88.0,89,2.609948
-87.0,88,2.662439
-65.0,66,2.701866
-184.0,185,2.812137
-66.0,67,2.85207
-71.0,72,2.894911
-79.0,80,2.942726
-86.0,87,2.994579
-110.0,111,3.060567
-90.0,91,3.114568
-72.0,73,3.157965
-66.0,67,3.197831
-72.0,73,3.241291
-78.0,79,3.28812
-78.0,79,3.335243
-78.0,79,3.382193
-78.0,79,3.429156
-72.0,73,3.472738
-82.0,83,3.522341
-132.0,133,3.601518
-77.0,78,3.647865
-80.0,81,3.696425
-73.0,74,3.740983
-66.0,67,3.780938
-80.0,81,3.829251
-88.0,89,3.882263
-77.0,78,3.928727
-86.0,87,3.981046
-72.0,73,4.024596
-64.0,65,4.063356
-73.0,74,4.107482
-97.0,98,4.165813
-145.0,146,4.261653
-87.0,88,4.314735
-94.0,95,4.371457
-79.0,80,4.419335
-72.0,73,4.46284
-87.0,88,4.515372
-78.0,79,4.562386
-73.0,74,4.606345
-79.0,80,4.653872
-87.0,88,4.706283
-72.0,73,4.749784
-198.0,199,4.86839
-80.0,81,4.916599
-64.0,65,4.955272
-64.0,65,4.993933
-78.0,79,5.041071
-185.0,186,5.151947
-72.0,73,5.195575
-73.0,74,5.239761
-78.0,79,5.28678
-81.0,82,5.335816
-66.0,67,5.375793
-78.0,79,5.422814
-72.0,73,5.466569
-94.0,95,5.523083
-89.0,90,5.576504
-99.0,100,5.636078
-79.0,80,5.683911
-69.0,70,5.725703
-99.0,100,5.785331
-78.0,79,5.832424
-65.0,66,5.871743
-86.0,87,5.923415
-64.0,65,5.962112
-75.0,76,6.007307
-179.0,180,6.114198
-167.0,168,6.214505
-81.0,82,6.263416
-69.0,70,6.305176
-71.0,72,6.348053
-200.0,201,6.467328
-73.0,74,6.511218
-77.0,78,6.557548
-76.0,77,6.603342
-78.0,79,6.650337
-78.0,79,6.697398
-97.0,98,6.755764
-83.0,84,6.80572
-73.0,74,6.849779
-82.0,83,6.899213
-69.0,70,6.940836
-65.0,66,6.980049
-75.0,76,7.026635
-65.0,66,7.065946
-70.0,71,7.108272
-91.0,92,7.16303
-78.0,79,7.210145
-97.0,98,7.268582
-91.0,92,7.323462
-73.0,74,7.367595
-79.0,80,7.415193
-69.0,70,7.456898
-71.0,72,7.499758
-65.0,66,7.539082
-78.0,79,7.586279
-86.0,87,7.638081
-74.0,75,7.682871
-80.0,81,7.731234
-78.0,79,7.77847
-73.0,74,7.822988
-71.0,72,7.866099
-72.0,73,7.909758
-64.0,65,7.948532
-93.0,94,8.004481
-78.0,79,8.051606
-89.0,90,8.105169
-88.0,89,8.157976
-73.0,74,8.202011
-91.0,92,8.256708
-86.0,87,8.308456
-85.0,86,8.359679
-78.0,79,8.406695
-75.0,76,8.452044
-77.0,78,8.498612
-79.0,80,8.546482
-79.0,80,8.594213
-86.0,87,8.646159
-73.0,74,8.690132
-75.0,76,8.735638
-90.0,91,8.789759
-82.0,83,8.839285
-79.0,80,8.886919
-74.0,75,8.931617
-88.0,89,8.984833
-80.0,81,9.033197
-78.0,79,9.080471
-66.0,67,9.120514
-79.0,80,9.168374
-304.0,305,9.349837
-74.0,75,9.394487
-91.0,92,9.449337
-71.0,72,9.492236
-74.0,75,9.53705
-87.0,88,9.589349
-72.0,73,9.632881
-73.0,74,9.677016
-73.0,74,9.721212
-79.0,80,9.768925
-73.0,74,9.812951
-64.0,65,9.851665
-107.0,108,9.915834
-79.0,80,9.963613
-88.0,89,10.016555
-80.0,81,10.064759
-174.0,175,10.168779
-79.0,80,10.216537
-92.0,93,10.272058
-70.0,71,10.314529
-82.0,83,10.364042
-83.0,84,10.41397
-92.0,93,10.469481
-71.0,72,10.512476
-73.0,74,10.55667
-97.0,98,10.615041
-65.0,66,10.65436
-73.0,74,10.698529
-78.0,79,10.745627
-74.0,75,10.790314
-89.0,90,10.843916
-71.0,72,10.88659
-71.0,72,10.929391
-72.0,73,10.972794
-64.0,65,11.011659
-86.0,87,11.063452
-72.0,73,11.106933
-85.0,86,11.158089
-66.0,67,11.198067
-64.0,65,11.236898
-74.0,75,11.281568
-77.0,78,11.327958
-64.0,65,11.366553
-121.0,122,11.438828
-78.0,79,11.485813
-64.0,65,11.524581
-74.0,75,11.569254
-76.0,77,11.615025
-72.0,73,11.658487
-71.0,72,11.70142
-94.0,95,11.75786
-74.0,75,11.802447
-92.0,93,11.857882
-82.0,83,11.907198
-64.0,65,11.946
-72.0,73,11.989573
-72.0,73,12.033114
-65.0,66,12.072452
-89.0,90,12.125901
-84.0,85,12.176482
-93.0,94,12.233027
-71.0,72,12.275934
-66.0,67,12.315955
-84.0,85,12.366665
-81.0,82,12.415449
-65.0,66,12.454707
-78.0,79,12.501777
-86.0,87,12.55369
-194.0,195,12.66984
-72.0,73,12.713769
-78.0,79,12.760996
-77.0,78,12.807557
-87.0,88,12.860078
-102.0,103,12.921568
-72.0,73,12.96533
-94.0,95,13.021925
-86.0,87,13.073782
-90.0,91,13.127845
-79.0,80,13.175443
-73.0,74,13.219657
-77.0,78,13.26608
-86.0,87,13.317956
-76.0,77,13.363717
-86.0,87,13.415483
-66.0,67,13.455313
-148.0,149,13.5438
-72.0,73,13.587331
-82.0,83,13.636616
-78.0,79,13.683568
-89.0,90,13.737007
-93.0,94,13.792803
-72.0,73,13.836216
-94.0,95,13.892575
-64.0,65,13.931357
-70.0,71,13.973545
-78.0,79,14.020513
-83.0,84,14.070411
-81.0,82,14.119335
-89.0,90,14.172947
-76.0,77,14.219079
-88.0,89,14.271952
-74.0,75,14.316765
-73.0,74,14.360959
-78.0,79,14.408142
-73.0,74,14.452326
-74.0,75,14.497092
-73.0,74,14.54118
-78.0,79,14.588265
-87.0,88,14.640781
-83.0,84,14.69091
-73.0,74,14.734975
-78.0,79,14.782208
-114.0,115,14.850775
-72.0,73,14.89437
-82.0,83,14.943902
-71.0,72,14.986935
-78.0,79,15.034062
-93.0,94,15.090237
-124.0,125,15.165047
-74.0,75,15.209929
-65.0,66,15.249516
-69.0,70,15.291215
-86.0,87,15.343246
-77.0,78,15.38985
-85.0,86,15.441151
-84.0,85,15.491952
-94.0,95,15.548641
-78.0,79,15.595753
-82.0,83,15.645268
-79.0,80,15.693086
-161.0,162,15.789792
-89.0,90,15.843532
-81.0,82,15.892282
-74.0,75,15.93704
-73.0,74,15.981248
-78.0,79,16.028701
-71.0,72,16.071717
-65.0,66,16.111074
-82.0,83,16.160699
-122.0,123,16.234304
-85.0,86,16.285622
-82.0,83,16.335343
-72.0,73,16.378889
-151.0,152,16.469559
-71.0,72,16.512649
-85.0,86,16.56387
-94.0,95,16.620687
-72.0,73,16.664275
-73.0,74,16.708487
-94.0,95,16.76525
-96.0,97,16.823201
-86.0,87,16.875206
-80.0,81,16.923491
-78.0,79,16.970688
-85.0,86,17.022027
-127.0,128,17.098566
-74.0,75,17.143342
-104.0,105,17.205973
-107.0,108,17.270444
-97.0,98,17.329071
-87.0,88,17.381817
-219.0,220,17.513044
-66.0,67,17.553169
-65.0,66,17.592636
-74.0,75,17.637561
-78.0,79,17.684982
-104.0,105,17.748011
-71.0,72,17.791103
-75.0,76,17.836557
-100.0,101,17.897014
-74.0,75,17.941968
-89.0,90,17.995851
-77.0,78,18.042605
-73.0,74,18.086788
-81.0,82,18.135862
-79.0,80,18.183882
-72.0,73,18.227684
-90.0,91,18.282114
-75.0,76,18.327549
-82.0,83,18.377185
-74.0,75,18.422112
-92.0,93,18.477695
-182.0,183,18.586929
-72.0,73,18.630446
-81.0,82,18.67947
-64.0,65,18.718281
-116.0,117,18.78773
-85.0,86,18.839003
-84.0,85,18.889449
-84.0,85,18.939836
-72.0,73,18.983352
-71.0,72,19.026248
-90.0,91,19.080567
-84.0,85,19.131255
-73.0,74,19.175343
-103.0,104,19.237435
-82.0,83,19.287017
-64.0,65,19.325919
-80.0,81,19.374275
-78.0,79,19.421382
-81.0,82,19.470152
-74.0,75,19.514886
-65.0,66,19.554183
-86.0,87,19.606014
-84.0,85,19.656634
-73.0,74,19.700697
-82.0,83,19.750274
-72.0,73,19.793543
-81.0,82,19.84232
-89.0,90,19.895683
-78.0,79,19.942387
-128.0,129,20.018961
-90.0,91,20.072991
-88.0,89,20.125829
-87.0,88,20.178103
-73.0,74,20.222188
-143.0,144,20.307461
-73.0,74,20.351771
-79.0,80,20.399371
-64.0,65,20.438126
-79.0,80,20.485804
-73.0,74,20.529811
-78.0,79,20.577013
-74.0,75,20.621822
-88.0,89,20.675321
-87.0,88,20.727906
-91.0,92,20.782692
-77.0,78,20.829311
-74.0,75,20.874135
-72.0,73,20.917804
-77.0,78,20.964524
-79.0,80,21.012413
-79.0,80,21.060257
-78.0,79,21.107541
-82.0,83,21.157016
-73.0,74,21.201265
-89.0,90,21.255031
-75.0,76,21.30053
-89.0,90,21.354439
-78.0,79,21.401806
-78.0,79,21.449055
-77.0,78,21.495525
-93.0,94,21.551678
-71.0,72,21.59467
-85.0,86,21.64616
-103.0,104,21.708383
-73.0,74,21.752656
-83.0,84,21.803051
-96.0,97,21.8616
-76.0,77,21.907763
-82.0,83,21.957353
-79.0,80,22.007844
-66.0,67,22.048169
-87.0,88,22.100916
-85.0,86,22.152449
-88.0,89,22.205794
-93.0,94,22.261956
-72.0,73,22.305469
-65.0,66,22.345008
-72.0,73,22.388471
-78.0,79,22.435565
-86.0,87,22.487279
-76.0,77,22.533213
-88.0,89,22.586339
-72.0,73,22.630008
-73.0,74,22.674419
-78.0,79,22.721955
-94.0,95,22.779004
-72.0,73,22.822945
-79.0,80,22.874738
-76.0,77,22.927062
-72.0,73,22.979341
-72.0,73,23.031363
-78.0,79,23.091103
-90.0,91,23.17013
-90.0,91,23.252884
-280.0,281,23.508315
-73.0,74,23.575563
-76.0,77,23.64545
-117.0,118,23.753505
-77.0,78,23.824567
-64.0,65,23.883734
-77.0,78,23.954676
-75.0,76,24.023831
-73.0,74,24.090973
-129.0,130,24.209541
-80.0,81,24.283603
-66.0,67,24.344957
-74.0,75,24.413301
-73.0,74,24.480698
-89.0,90,24.562824
-86.0,87,24.642347
-73.0,74,24.710002
-65.0,66,24.77038
-80.0,81,24.84419
-66.0,67,24.905124
-73.0,74,24.972483
-87.0,88,25.052799
-75.0,76,25.121915
-78.0,79,25.193794
-129.0,130,25.312121
-82.0,83,25.38801
-79.0,80,25.460742
-65.0,66,25.520871
-88.0,89,25.601825
-64.0,65,25.660944
-79.0,80,25.735384
-78.0,79,25.815766
-73.0,74,25.880585
-65.0,66,25.939712
-111.0,112,26.014034
-73.0,74,26.069321
-73.0,74,26.124714
-86.0,87,26.189787
-79.0,80,26.249459
-74.0,75,26.305374
-74.0,75,26.361764
-89.0,90,26.429265
-64.0,65,26.478022
-78.0,79,26.53755
-84.0,85,26.601423
-74.0,75,26.65774
-74.0,75,26.714158
-78.0,79,26.773458
-85.0,86,26.838055
-87.0,88,26.903841
-79.0,80,26.964301
-101.0,102,27.040579
-72.0,73,27.095212
-85.0,86,27.160183
-88.0,89,27.226861
-84.0,85,27.290805
-77.0,78,27.349443
-101.0,102,27.425869
-66.0,67,27.475987
-88.0,89,27.542677
-74.0,75,27.598772
-86.0,87,27.663962
-70.0,71,27.71756
-168.0,169,27.844287
-72.0,73,27.899161
-64.0,65,27.947897
-147.0,148,28.058957
-78.0,79,28.118084
-84.0,85,28.181957
-74.0,75,28.238881
-93.0,94,28.309104
-89.0,90,28.376416
-96.0,97,28.449106
-66.0,67,28.499497
-72.0,73,28.55421
-74.0,75,28.610356
-70.0,71,28.663382
-74.0,75,28.719674
-73.0,74,28.775077
